日付,曜,A,B,C,D,E,F,G,H,I,J,K,L,M
2023/1/14,土,,,,,,,,,,,,,
2023/1/15,日,,,,,,,,,,,,,
2023/1/16,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/1/17,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/1/18,水,,,21,,,20,,,22,,,2,
2023/1/19,木,11,11,11,1,1,1,20,21,,1,1,1,23
2023/1/20,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/1/21,土,,,,,,,,,,,,,
2023/1/22,日,,,,,,,,,,,,,
2023/1/23,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/1/24,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/1/25,水,,,22,,,21,,,2,,,20,24
2023/1/26,木,11,11,11,1,1,1,2,22,,1,1,1,2
2023/1/27,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/1/28,土,,,,,,,,,,,,,
2023/1/29,日,,,,,,,,,,,,,
2023/1/30,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/1/31,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/2/1,水,,,2,,,22,,,20,,,21,
2023/2/2,木,11,11,11,1,1,1,21,20,,1,1,1,23
2023/2/3,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/2/4,土,,,,,,,,,,,,,
2023/2/5,日,,,,,,,,,,,,,
2023/2/6,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/2/7,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/2/8,水,,,20,,,2,,,21,,,22,
2023/2/9,木,11,11,11,1,1,1,22,2,,1,1,1,20
2023/2/10,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/2/11,土,,,,,,,,,,,,,
2023/2/12,日,,,,,,,,,,,,,
2023/2/13,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/2/14,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/2/15,水,,,21,,,20,,,22,,,2,
2023/2/16,木,11,11,11,1,1,1,20,21,,1,1,1,23
2023/2/17,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/2/18,土,,,,,,,,,,,,,
2023/2/19,日,,,,,,,,,,,,,
2023/2/20,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/2/21,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/2/22,水,,,22,,,21,,,2,,,20,24
2023/2/23,木,11,11,11,1,1,1,2,22,,1,1,1,2
2023/2/24,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/2/25,土,,,,,,,,,,,,,
2023/2/26,日,,,,,,,,,,,,,
2023/2/27,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/2/28,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/3/1,水,,,2,,,22,,,20,,,21,
2023/3/2,木,11,11,11,1,1,1,21,20,,1,1,1,23
2023/3/3,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/3/4,土,,,,,,,,,,,,,
2023/3/5,日,,,,,,,,,,,,,
2023/3/6,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/3/7,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/3/8,水,,,20,,,2,,,21,,,22,
2023/3/9,木,11,11,11,1,1,1,22,2,,1,1,1,20
2023/3/10,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/3/11,土,,,,,,,,,,,,,
2023/3/12,日,,,,,,,,,,,,,
2023/3/13,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/3/14,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/3/15,水,,,21,,,20,,,22,,,2,
2023/3/16,木,11,11,11,1,1,1,20,21,,1,1,1,23
2023/3/17,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/3/18,土,,,,,,,,,,,,,
2023/3/19,日,,,,,,,,,,,,,
2023/3/20,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/3/21,火,,,,,,,,,,,,,
2023/3/22,水,,,22,,,21,,,2,,,20,24
2023/3/23,木,11,11,11,1,1,1,2,22,,1,1,1,2
2023/3/24,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/3/25,土,,,,,,,,,,,,,
2023/3/26,日,,,,,,,,,,,,,
2023/3/27,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/3/28,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/3/29,水,,,2,,,22,,,20,,,21,
2023/3/30,木,11,11,11,1,1,1,21,20,,1,1,1,
2023/3/31,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/4/1,土,,,,,,,,,,,,,
2023/4/2,日,,,,,,,,,,,,,
2023/4/3,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/4/4,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/4/5,水,,,20,,,2,,,21,,,22,
2023/4/6,木,11,11,11,1,1,1,22,2,,1,1,1,23
2023/4/7,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/4/8,土,,,,,,,,,,,,,
2023/4/9,日,,,,,,,,,,,,,
2023/4/10,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/4/11,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/4/12,水,,,21,,,20,,,22,,,2,
2023/4/13,木,11,11,11,1,1,1,20,21,,1,1,1,20
2023/4/14,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/4/15,土,,,,,,,,,,,,,
2023/4/16,日,,,,,,,,,,,,,
2023/4/17,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/4/18,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/4/19,水,,,22,,,21,,,2,,,20,
2023/4/20,木,11,11,11,1,1,1,2,22,,1,1,1,23
2023/4/21,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/4/22,土,,,,,,,,,,,,,
2023/4/23,日,,,,,,,,,,,,,
2023/4/24,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/4/25,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/4/26,水,,,2,,,22,,,20,,,21,24
2023/4/27,木,11,11,11,1,1,1,21,20,,1,1,1,2
2023/4/28,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/4/29,土,,,,,,,,,,,,,
2023/4/30,日,,,,,,,,,,,,,
2023/5/1,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/5/2,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/5/3,水,,,,,,,,,,,,,
2023/5/4,木,,,,,,,,,,,,,
2023/5/5,金,,,,,,,,,,,,,
2023/5/6,土,,,,,,,,,,,,,
2023/5/7,日,,,,,,,,,,,,,
2023/5/8,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/5/9,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/5/10,水,,,20,,,2,,,21,,,22,
2023/5/11,木,11,11,11,1,1,1,22,2,,1,1,1,23
2023/5/12,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/5/13,土,,,,,,,,,,,,,
2023/5/14,日,,,,,,,,,,,,,
2023/5/15,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/5/16,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/5/17,水,,,21,,,20,,,22,,,2,
2023/5/18,木,11,11,11,1,1,1,20,21,,1,1,1,20
2023/5/19,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/5/20,土,,,,,,,,,,,,,
2023/5/21,日,,,,,,,,,,,,,
2023/5/22,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/5/23,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/5/24,水,,,22,,,21,,,2,,,20,24
2023/5/25,木,11,11,11,1,1,1,2,22,,1,1,1,23
2023/5/26,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/5/27,土,,,,,,,,,,,,,
2023/5/28,日,,,,,,,,,,,,,
2023/5/29,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/5/30,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/5/31,水,,,2,,,22,,,20,,,21,
2023/6/1,木,11,11,11,1,1,1,21,20,,1,1,1,2
2023/6/2,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/6/3,土,,,,,,,,,,,,,
2023/6/4,日,,,,,,,,,,,,,
2023/6/5,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/6/6,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/6/7,水,,,20,,,2,,,21,,,22,
2023/6/8,木,11,11,11,1,1,1,22,2,,1,1,1,23
2023/6/9,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/6/10,土,,,,,,,,,,,,,
2023/6/11,日,,,,,,,,,,,,,
2023/6/12,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/6/13,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/6/14,水,,,21,,,20,,,22,,,2,
2023/6/15,木,11,11,11,1,1,1,20,21,,1,1,1,20
2023/6/16,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/6/17,土,,,,,,,,,,,,,
2023/6/18,日,,,,,,,,,,,,,
2023/6/19,月,2,21,,1,1,1,11,11,11,1,1,1,
2023/6/20,火,1,1,1,21,20,,1,1,1,11,11,11,25
2023/6/21,水,,,22,,,21,,,2,,,20,
2023/6/22,木,11,11,11,1,1,1,2,22,,1,1,1,23
2023/6/23,金,1,1,1,11,11,11,1,1,1,21,2,,1
2023/6/24,土,,,,,,,,,,,,,
2023/6/25,日,,,,,,,,,,,,,
2023/6/26,月,20,22,,1,1,1,11,11,11,1,1,1,
2023/6/27,火,1,1,1,22,2,,1,1,1,11,11,11,25
2023/6/28,水,,,2,,,22,,,20,,,21,24
2023/6/29,木,11,11,11,1,1,1,21,20,,1,1,1,2
2023/6/30,金,1,1,1,11,11,11,1,1,1,22,20,,1
2023/7/1,土,,,,,,,,,,,,,
2023/7/2,日,,,,,,,,,,,,,
2023/7/3,月,21,2,,1,1,1,11,11,11,1,1,1,
2023/7/4,火,1,1,1,20,21,,1,1,1,11,11,11,25
2023/7/5,水,,,20,,,2,,,21,,,22,
2023/7/6,木,11,11,11,1,1,1,22,2,,1,1,1,23
2023/7/7,金,1,1,1,11,11,11,1,1,1,2,21,,1
2023/7/8,土,,,,,,,,,,,,,
2023/7/9,日,,,,,,,,,,,,,
2023/7/10,月,22,20,,1,1,1,11,11,11,1,1,1,
2023/7/11,火,1,1,1,2,22,,1,1,1,11,11,11,25
2023/7/12,水,,,21,,,20,,,22,,,2,
2023/7/13,木,11,11,11,1,1,1,20,21,,1,1,1,20
2023/7/14,金,1,1,1,11,11,11,1,1,1,20,22,,1
2023/7/15,土,,,,,,,,,,,,,
2023/7/16,日,,,,,,,,,,,,,
